program|semester|course|topic|prerequisites|why
BS-AI|1|Functional English|Vocabulary Building & Synonyms|Parts of Speech & Grammar Basics|A rich vocabulary enhances reading comprehension, especially when dealing with complex, technical AI research papers.
BS-AI|1|Functional English|Reading Comprehension & Skimming/Scanning|Vocabulary Building & Synonyms|These skills are needed for quickly and effectively understanding large volumes of research documentation and technical manuals.
BS-AI|1|Functional English|Paragraph Writing & Coherence|Sentence Structure & Syntax|Mastering paragraph structure is essential for writing cohesive essays, reports, and clear academic arguments in later courses.
BS-AI|1|Functional English|Essay & Report Writing|Paragraph Writing & Coherence, Structured Thinking|This module directly trains the structured writing needed for thesis reports and is used extensively in the Expository Writing course.
BS-AI|1|Functional English|Listening & Speaking Skills|Vocabulary Building & Synonyms, Presentation Skills|Improves confidence and clarity, which is necessary for effective presentation delivery and professional communication during viva examinations.
BS-AI|1|Functional English|Presentation Skills|Listening & Speaking Skills|These are vital soft skills needed for presenting project outcomes and technical findings in all subsequent project-based semesters.
BS-AI|1|Functional English|Academic Vocabulary for AI/CS|Vocabulary Building & Synonyms, Reading Comprehension & Skimming/Scanning|Specifically focuses on enhancing the lexicon needed to understand and accurately discuss computer science and AI concepts.
BS-AI|1|Functional English|Active vs. Passive Voice in Technical Writing|Sentence Structure & Syntax, Grammar Basics|Understanding appropriate voice usage is necessary for writing clear, concise, and professional technical reports and documentation.
BS-AI|1|Functional English|Referencing and Citation Styles (APA/IEEE)|Essay & Report Writing, Academic Ethics|These are essential academic practices for giving credit to sources, avoiding plagiarism, and maintaining integrity in research papers.
BS-AI|1|Functional English|Critical Listening Skills for Presentations|Listening & Speaking Skills, Reading Comprehension & Skimming/Scanning|Trains students to actively process information, ask relevant questions, and provide constructive feedback during peer presentations.
BS-AI|1|Functional English|Developing Outlines for Essays|Paragraph Writing & Coherence, Structured Thinking|Teaches the planning process necessary to ensure logical flow and comprehensive coverage of topics in academic writing.
BS-AI|1|Functional English|Note-Taking Strategies|Reading Comprehension & Skimming/Scanning, Listening & Speaking Skills|Effective note-taking is crucial for summarizing lectures and key research findings efficiently.
BS-AI|1|Functional English|Formal vs. Informal Language|Grammar Basics, Vocabulary Building & Synonyms|Knowing when to use appropriate language registers is vital for professional communication versus casual discussion.
BS-AI|1|Functional English|Understanding Audience and Purpose|Essay & Report Writing, Critical Thinking|Tailoring communication style based on who is reading and why the text is being written.
BS-AI|1|Functional English|School-level English grammar|None|The necessary linguistic foundation for understanding sentence structure and composition in academic writing.
BS-AI|1|Functional English|Structured Thinking|None|The organizational skill needed for logically arranging ideas and information before writing reports or essays.
BS-AI|1|Functional English|Academic Ethics|None|Understanding plagiarism and proper citation is crucial for integrity in all research and reports.
BS-AI|1|Functional English|Technical Writing Conventions|Functional English|Specific rules and guidelines for creating clear, precise documentation used in technical and engineering fields.
BS-AI|1|Calculus & Analytical Geometry|Functions, Limits & Continuity|Algebra basics, Coordinate geometry|These are the fundamental building blocks of mathematical analysis and are needed to understand concepts like smoothness in optimization models.
BS-AI|1|Calculus & Analytical Geometry|Differentiation & Applications|Functions, Limits & Continuity|Differentiation is the core mathematical tool used extensively in optimization, particularly in calculating gradients for ML algorithms.
BS-AI|1|Calculus & Analytical Geometry|Integration & Applications|Differentiation & Applications|Integration forms the mathematical basis for probability density functions and is used in certain types of ML integration and analysis.
BS-AI|1|Calculus & Analytical Geometry|Partial Derivatives|Differentiation & Applications, Vector Functions & 3D Geometry|Crucial for optimization in high-dimensional spaces; directly used in calculating gradients for backpropagation in Artificial Neural Networks.
BS-AI|1|Calculus & Analytical Geometry|Analytical Geometry (Lines, Circles, Conics)|Functions, Limits & Continuity, Algebra basics|Understanding these spatial concepts is foundational and is used in areas like computer graphics, vision, and basic data visualization.
BS-AI|1|Calculus & Analytical Geometry|Vector Functions & 3D Geometry|Analytical Geometry (Lines, Circles, Conics)|These concepts are core components for dealing with physical simulations, robotics, computer vision, and the mathematical framework of linear algebra.
BS-AI|1|Calculus & Analytical Geometry|Parametric Equations & Polar Coordinates|Vector Functions & 3D Geometry|These techniques are used in complex mathematical simulations, motion planning, and representing data in alternative coordinate systems.
BS-AI|1|Calculus & Analytical Geometry|Taylor and Maclaurin Series|Differentiation & Applications, Integration & Applications|These power series are foundational for approximating complex functions, which is utilized in designing specific activation functions and numerical methods in ML.
BS-AI|1|Calculus & Analytical Geometry|Sequences and Series Convergence|Functions, Limits & Continuity|This area is essential for analyzing the long-term behavior and convergence rates of iterative optimization algorithms used in training AI models.
BS-AI|1|Calculus & Analytical Geometry|Jacobians and Hessians (Introduction)|Partial Derivatives, Matrices & Determinants|These advanced matrices are essential for multi-variable optimization, particularly for understanding curvature and second-order derivatives in loss functions.
BS-AI|1|Calculus & Analytical Geometry|Multivariable Chain Rule and Implicit Differentiation|Partial Derivatives, Differentiation & Applications|Extends differentiation rules to multiple dimensions, necessary for complex relationships in backpropagation algorithms.
BS-AI|1|Calculus & Analytical Geometry|Differential Equations (Basic Introduction)|Differentiation & Applications, Integration & Applications|These equations model dynamic systems and change over time, often used in physics simulations and certain types of time-series analysis.
BS-AI|1|Calculus & Analytical Geometry|The Gradient Vector and Directional Derivatives|Partial Derivatives, Vector Functions & 3D Geometry|The gradient concept is the geometric basis of gradient descent, showing the direction of steepest ascent in multivariate functions.
BS-AI|1|Calculus & Analytical Geometry|Curvature and Radius of Curvature|Differentiation & Applications, Analytical Geometry (Lines, Circles, Conics)|Geometric concepts used in defining paths and smoothness, relevant to numerical methods and trajectory planning.
BS-AI|1|Calculus & Analytical Geometry|Introduction to Double Integrals|Integration & Applications, Functions of Several Variables|Extends integration to two dimensions, necessary for volume calculations and joint probability distributions.
BS-AI|1|Calculus & Analytical Geometry|Algebra basics|None|Fundamental mathematical operations required for all subsequent calculus and vector analysis.
BS-AI|1|Calculus & Analytical Geometry|Coordinate geometry|None|Visual representation of mathematical relationships, necessary for understanding functions and geometry.
BS-AI|1|Calculus & Analytical Geometry|Functions of Several Variables|Functions, Limits & Continuity|Extends single-variable calculus to multivariate functions, essential for ML optimization.
BS-AI|1|Calculus & Analytical Geometry|Matrices & Determinants|Algebra basics, Systems of Linear Equations (Gaussian Elimination)|Initial concepts of linear algebra, used in multivariable calculus for Hessians and Jacobians.
BS-AI|1|Discrete Mathematical Structures|Set Theory|Basic Algebra, Grouping concepts|Set theory provides the foundational terminology and structure for defining domains, relations, and data groups used extensively in AI logic.
BS-AI|1|Discrete Mathematical Structures|Logic & Propositional Calculus (Syntax, Semantics)|Set Theory|This is the core of AI reasoning and Knowledge Representation; it provides the formal tools to determine validity and truth.
BS-AI|1|Discrete Mathematical Structures|Relations & Functions|Set Theory, Logic & Propositional Calculus (Syntax, Semantics)|These concepts are used in defining data relationships, designing database schemas, and building knowledge graphs.
BS-AI|1|Discrete Mathematical Structures|Mathematical Proofs & Induction|Logic & Propositional Calculus (Syntax, Semantics), Basic Algebra|Essential for formally verifying the correctness of algorithms and understanding the theoretical foundations of computational systems.
BS-AI|1|Discrete Mathematical Structures|Combinatorics & Counting|Set Theory, Mathematical Proofs & Induction|This area is fundamental to calculating probabilities, analyzing search spaces, and solving complex counting problems in AI algorithms.
BS-AI|1|Discrete Mathematical Structures|Graph Theory & Trees|Set Theory, Relations & Functions|Graph theory is a key area for AI search algorithms, pathfinding, complex networking models, and the structure of neural networks.
BS-AI|1|Discrete Mathematical Structures|Boolean Algebra|Logic & Propositional Calculus (Syntax, Semantics), Digital Logic Design|This is the mathematical foundation for Digital Logic Design and underlies all operations within computer hardware.
BS-AI|1|Discrete Mathematical Structures|Recurrence Relations|Mathematical Proofs & Induction, Basic Algebra|Used to model and analyze recursive processes; critical for determining the time complexity of recursive algorithms.
BS-AI|1|Discrete Mathematical Structures|Finite State Machines & Automata Intro|Logic & Propositional Calculus (Syntax, Semantics), State transitions|These concepts link directly to the Theory of Automata course and are used in compiler design and basic sequence recognition.
BS-AI|1|Discrete Mathematical Structures|Inclusion-Exclusion Principle|Set Theory, Combinatorics & Counting|An advanced counting principle used for solving complex probability and enumeration problems by correcting for overlap.
BS-AI|1|Discrete Mathematical Structures|Lattices and Partially Ordered Sets (Posets)|Relations & Functions, Set Theory|These structures provide a theoretical foundation for dependency modeling, data hierarchies, and formal reasoning.
BS-AI|1|Discrete Mathematical Structures|Tree Traversal Algorithms (Pre, In, Post)|Graph Theory & Trees, Recursion: Principles and Execution Flow|Practical application of tree theory, essential for efficient data structure manipulation and organized search in tree structures.
BS-AI|1|Discrete Mathematical Structures|Recurrence Relation Solving Techniques (Substitution, Master Theorem)|Recurrence Relations, Mathematical Proofs & Induction|Teaches formal methods to derive the exact time complexity (Big O) of common recursive algorithms like Merge Sort.
BS-AI|1|Discrete Mathematical Structures|Basic Cryptography and Modular Arithmetic|Logic & Propositional Calculus (Syntax, Semantics), Introduction to Elementary Number Theory|Introduces the basic mathematical operations (like modulo) that are fundamental to modern public-key cryptography and security protocols.
BS-AI|1|Discrete Mathematical Structures|Predicate Calculus Quantifiers (Advanced)|Logic & Propositional Calculus (Syntax, Semantics), Relations & Functions|Detailed study of quantifiers, essential for formal Knowledge Representation.
BS-AI|1|Discrete Mathematical Structures|Equivalence Relations and Partitions|Relations & Functions, Set Theory|Used in classifying and grouping elements within data sets, simplifying complex structures into manageable partitions.
BS-AI|1|Discrete Mathematical Structures|Introduction to Elementary Number Theory|Basic Algebra, Mathematical Proofs & Induction|Covers prime numbers and divisibility, which are fundamental to cryptographic algorithms and security.
BS-AI|1|Discrete Mathematical Structures|Basic Algebra|None|Basic arithmetic operations and numerical concepts essential for computer science.
BS-AI|1|Discrete Mathematical Structures|Grouping concepts|Set Theory|The conceptual basis for grouping elements into distinct sets.
BS-AI|1|Discrete Mathematical Structures|State transitions|Finite State Machines & Automata Intro|The process of a system moving from one state (condition) to another.
BS-AI|2|Object Oriented Programming|Introduction to OOP Concepts (Classes, Objects, Abstraction, Encapsulation)|Programming Fundamental, Data Types & Variables|This module introduces the philosophy and core concepts for designing modular and reusable software, which is the standard for modern AI systems.
BS-AI|2|Object Oriented Programming|Constructors, Destructors, and Object Lifecycle|Introduction to OOP Concepts (Classes, Objects, Abstraction, Encapsulation), Memory Management Concepts|Teaches the essential processes of how objects are initialized, used, and cleanly destroyed, which is crucial for efficient resource management.
BS-AI|2|Object Oriented Programming|Inheritance and Polymorphism|Introduction to OOP Concepts (Classes, Objects, Abstraction, Encapsulation), Encapsulation and Access Specifiers|These powerful concepts enable code reuse, dynamic behavior, and the creation of hierarchical relationships within large-scale OOP software systems.
BS-AI|2|Object Oriented Programming|Encapsulation and Access Specifiers|Introduction to OOP Concepts (Classes, Objects, Abstraction, Encapsulation), Data Types & Variables|Encapsulation protects data integrity by bundling data and methods together, ensuring secure and controlled access to object state.
BS-AI|2|Object Oriented Programming|Exception Handling|Conditional Statements (if, else, switch), Functions & Modular Programming|This ensures program stability and robustness by providing structured ways to gracefully manage unexpected errors and events during execution.
BS-AI|2|Object Oriented Programming|File Handling (OOP perspective)|File Handling, Constructors, Destructors, and Object Lifecycle|Applies OOP principles to read and write persistent data, which is necessary for model loading, configuration, and data logging.
BS-AI|2|Object Oriented Programming|Templates and Generic Programming|Functions & Modular Programming, Data Types & Variables|Allows developers to write highly flexible code that works with any data type, crucial for creating generic data structures and algorithms.
BS-AI|2|Object Oriented Programming|Introduction to Design Patterns|Abstract Classes and Interfaces, Inheritance and Polymorphism|Introduces reusable solutions to common software design problems, building architecture-level problem-solving skills necessary for large systems.
BS-AI|2|Object Oriented Programming|Abstract Classes and Interfaces|Inheritance and Polymorphism, Encapsulation and Access Specifiers|Core mechanisms for defining contracts and forcing subclasses to implement specific methods, vital for designing frameworks.
BS-AI|2|Object Oriented Programming|Delegation and Composition|Classes, Encapsulation and Access Specifiers, Introduction to Design Patterns|Teaches techniques for achieving code reuse and flexibility without relying solely on inheritance.
BS-AI|2|Object Oriented Programming|Shallow vs. Deep Copy|Constructors, Destructors, and Object Lifecycle, Memory Management Concepts|Critical topic for understanding object state management and preventing unintended side-effects when duplicating complex objects.
BS-AI|2|Object Oriented Programming|Operator Overloading|Operators & Expressions, Functions & Modular Programming|Allows defining custom and intuitive behavior for standard operators when used with user-defined objects.
BS-AI|2|Object Oriented Programming|Garbage Collection and Memory Leaks|Constructors, Destructors, and Object Lifecycle, Memory Management Concepts|Understanding how automatic memory management works and how to prevent inefficient use of system memory resources.
BS-AI|2|Object Oriented Programming|UML Class Diagrams (Basic Reading)|Encapsulation and Access Specifiers, Inheritance and Polymorphism, Introduction to Design Patterns|Visual language used to model, design, and document the structure of object-oriented systems.
BS-AI|2|Object Oriented Programming|Unit Testing for Classes|Exception Handling, Software Engineering Basics|Focuses on writing tests for individual components to ensure code reliability and correctness.
BS-AI|2|Object Oriented Programming|Advanced Polymorphism (Virtual Functions, Vtables)|Inheritance and Polymorphism, Introduction to Pointers / Memory Concepts|Detailed mechanics of runtime polymorphism, crucial for language understanding.
BS-AI|2|Object Oriented Programming|Collections and Iterators|Arrays & Strings, Templates and Generic Programming|Provides standard ways to access and manipulate elements within a complex data structure sequence.
BS-AI|2|Object Oriented Programming|Memory Management Concepts|Introduction to Pointers / Memory Concepts|General principles of managing primary storage (RAM).
BS-AI|2|Object Oriented Programming|Classes|Introduction to OOP Concepts (Classes, Objects, Abstraction, Encapsulation)|The blueprint for creating objects, fundamental to the OOP paradigm.
BS-AI|2|Object Oriented Programming|Objects|Classes|Runtime instances of classes that hold state and behavior.
BS-AI|2|Object Oriented Programming|Software Engineering Basics|Introduction to Software Engineering|Foundational principles of structured software development.
BS-AI|2|Database Systems|Introduction to Databases|Information Systems & Databases|This establishes the foundation for structured data management, moving beyond simple file-based storage to systematic data organization.
BS-AI|2|Database Systems|Data Models (Relational, Hierarchical, Network)|Relations & Functions, Logical operators|These models define the conceptual structure of the database, with the Relational Model being the core focus for subsequent learning.
BS-AI|2|Database Systems|Entity-Relationship (ER) Modeling|Data Models (Relational, Hierarchical, Network), Conceptual modeling|A graphical tool essential for designing the logical structure of a database based on real-world entity interactions.
BS-AI|2|Database Systems|SQL (DDL, DML, DCL, TCL)|Logical query thinking, Procedural programming syntax understanding|The standardized language used for all data definition, manipulation, and access control within relational database systems.
BS-AI|2|Database Systems|Normalization and Functional Dependencies|Set Theory, Relational Algebra and Calculus|This process is key to eliminating data redundancy, maintaining data integrity, and improving the overall efficiency of the database structure.
BS-AI|2|Database Systems|Transactions and Concurrency Control|Operating System, ACID properties understanding|Ensures the database remains reliable, consistent, and accurate even during simultaneous operations by multiple users or processes.
BS-AI|2|Database Systems|Database Security and Backup|Introduction to Information Security (CIA Triad), Cryptography (Symmetric & Asymmetric)|Essential for protecting sensitive data from unauthorized access, loss, or corruption, ensuring data availability and integrity.
BS-AI|2|Database Systems|Index Structures (B-Trees, Hashing)|Trees and Binary Search Trees, Hashing and Searching|These structures are fundamental for optimizing query performance and drastically speeding up data retrieval time from large tables.
BS-AI|2|Database Systems|Database Architecture (3-Tier, Client-Server)|Introduction to Databases, Computer Networks|Understanding how the Database Management System operates in a networked, multi-user environment and its various layers.
BS-AI|2|Database Systems|Stored Procedures and Functions|SQL (DDL, DML, DCL, TCL), Functions & Modular Programming|Used for automating common, complex database tasks, enhancing security, and improving overall query performance by pre-compilation.
BS-AI|2|Database Systems|Distributed Databases and Sharding|Transactions and Concurrency Control, Computer Networks|Concepts required for horizontally scaling a database to handle massive, globally distributed datasets.
BS-AI|2|Database Systems|Query Processing and Optimization|SQL (DDL, DML, DCL, TCL), Index Structures (B-Trees, Hashing)|The internal mechanism used by the DBMS to determine the most efficient way to execute a given SQL query.
BS-AI|2|Database Systems|NoSQL Databases (Introduction to MongoDB, Cassandra)|Introduction to Databases, Data Models (Relational, Hierarchical, Network)|Introduces alternative, non-relational models necessary for handling unstructured data and meeting high scalability demands in modern web and AI apps.
BS-AI|2|Database Systems|Data Warehousing and OLAP (Basic)|Information Systems & Databases, Descriptive Statistics (Mean, Median, Mode, Variance)|Focuses on organizing data for analytical purposes, distinct from transaction processing, vital for Business Intelligence.
BS-AI|2|Database Systems|Relational Algebra and Calculus|Set Theory, Relations & Functions|The theoretical, mathematical foundation upon which the Structured Query Language (SQL) is built.
BS-AI|2|Database Systems|Triggers and Assertions|SQL (DDL, DML, DCL, TCL), Transactions and Concurrency Control|Advanced SQL features used to enforce complex business rules automatically upon data modification.
BS-AI|2|Database Systems|Big Data and Hadoop Ecosystem (Conceptual)|Distributed Databases and Sharding, Cloud Computing Concepts|High-level overview of technologies designed to process and store extremely large datasets beyond traditional database capabilities.
BS-AI|2|Database Systems|Logical operators|Logic & Propositional Calculus (Syntax, Semantics)|Operators used in SQL queries (AND, OR, NOT) to filter data.
BS-AI|2|Database Systems|Conceptual modeling|Data Models (Relational, Hierarchical, Network)|Process of representing real-world entities and relationships abstractly (e.g., using ER models).
